No.|Group Name|Description|Last Incident \ Victim|Victim Count|Last Seen|Icon|Vraie_Description
1|LockBit 3.0|Read more|auruminstitute.org (2024-02-13-11:35)|2517|Online||"LockBit 2.0, new RaaS program, the developers claim its ""the fastest encryption software all over the world"". The group also made a comparative table with several similar programs indicating the encryption speed."
2|Conti|Read more|Alliance Steel (2022-06-07-19:37)|807|Offline||Conti ransomware group is a global threat actor affecting victims mainly in North America and Western Europe. Conti Ransomware group is one of the most active ransomware operations, its distribution through a ransomware-as-a-service model. Conti ransomware group leaks the victim's data to their darknet website. Conti Ransomware uses its implementation of AES-256 that uses up to 32 individual logical threads, making it much faster than most ransomware.
3|Alphav (BlackCat)|Read more|Trans-Northern Pipelines (2024-02-13-14:30)|699|Online||
4|CL0P|Read more|SANDALAWOFFICES.COM (2024-01-22-20:48)|524|Offline||"Clop Ransomware group's main goal is to encrypt the files on the computers of victims and then the ransomware group requires payment for decrypting the information to get the files to work again. They also have their darknet website for publishing the victims' data leaks. Security researcher attributes the Clop Ransomware operation to the known threat actor: ""TA505""."
5|BlackBasta|Read more|willislease.com (2024-02-09-15:11)|464|Online||
6|Play News|Read more|Modern Kitchens (2024-02-06-01:37)|361|Online||
7|8Base|Read more|LILIS BROWNIES (2024-02-12-00:29)|322|Online||
8|Pysa (Mespinoza)|Read more|Chr Solutions (2021-12-06)|309|Offline||PYSA ransomware group operates as a ransomware-as-a-service (RaaS) model. PYSA stands for “Protect Your System Amigo”, The PYSA ransomware malware is a variant of the Mespinoza ransomware. It was first seen within open-source documents in December 2019, two months after Mespinoza ransomware was spotted in the wild. PYSA affiliates can customize their malware based on options provided by the RaaS platform, and deploy it as customized. PYSA usually exfiltrates data from its victims before encrypting the files to be ransomed.
9|REvil Sodinokibi|Read more|kusd.edu (2022-11-28-21:39)|297|Offline||"Sodinokibi ransomware group also known as REvil (Ransomware Evil) operates as a ransomware-as-a-service (RaaS) model. After the group compromised his victims, they would threaten to publish the victim's sensitive data on their darknet blog named ""Happy Blog"", unless the ransom is paid. The ransomware malware code used by REvil is pretty similar to the ransomware code used by DarkSide - a different threat actor. REvil group claims to steal information after a successful attack on the supplier of the tech giant Apple and stole confidential schematics of their upcoming products."
10|BianLian|Read more|CTSI (2024-02-09-20:30)|274|Online||
11|MAZE|Read more|Club Fitness (2020-11-05)|265|Offline||"Maze ransomware group is one of the most known ransomware gangs, they targeted organizations worldwide across many industries. Security researchers believed that Maze operates as an affiliated network model. MAZE was one of the first groups that made a ""Double Extortion Attack"" involved Allied Universal, in November 2019, the group leaks their victim's data in the darknet. On November 1, 2020, MAZE announced an official press release that they are closing their operation. is malware targeting organizations worldwide across many industries. Security researchers claim that the threat actor behind the MAZE group is ""TA2101""."
12|HiveLeaks|Read more|R C Stevens Construction (2023-01-16-22:41)|215|Offline||"Hive, New ransomware group with no prior breaches, Published a leak site on the darknet in June 2021 called HiveLeaks. Files are encrypted with the "".key.hive"" extension. The ransom note referring victims to an onion site with login information to ""Purchase"" Hive's decryption software."
13|Egregor|Read more|Haggard & Stocking Associates Inc (2020-12-30)|206|Offline||Egregor ransomware group compromised hundreds of businesses globally, including Randstad and US retailer Kmart. Egregor referring to the collective energy of a group of people united with a common purpose - which makes sense that Egregor operates on ransomware as a service model. There are some speculations that Egregor's operation was based on the Maze ransomware group that was shut down. The Egregor group successfully breached Crytek and Ubisoft in October 2020. Finally, the Egregor ransomware operation was taken down after members of the group have been arrested in Ukraine.
14|DoppelPaymer|Read more|Yuba County (2021-06-24)|200|Offline||Doppelpaymer ransomware group first appeared in 2019 when it launched attacks against organizations in critical industries. Security researchers believed that Doppelpaymer ransomware based on the BitPaymer ransomware which first appeared in 2017 hat there are some differences between them. In February 2020, the DoppelPaymer ransomware group has launched a data leak site in the darknet for all the victim's data leaks.
15|Royal|Read more|Afg Holdings (2023-08-04-20:26)|196|Offline||
16|Akira|Read more|Sanok Rubber CompanySpólka Akcyjna (2024-02-13-10:10)|191|Online||
17|Vice Society|Read more|Ssv Architects (2023-06-20-22:13)|183|Offline||"Vice Society ransomware appends the .v-society extension when encrypting Linux machines.  Running a leak site on the darkweb, Possible relations with ""HelloKitty"""
