name|slug|lastscrape|profile
marketo|http://marketojbwagqnwx.onion|2021-05-01 00:00:00.000000|https://www.digitalshadows.com/blog-and-research/marketo-a-return-to-simple-extortion, https://securityaffairs.co/wordpress/121617/cyber-crime/puma-available-marketo.html, https://t.me/marketo_leaks, https://t.me/marketocloud
marketo|http://g5sbltooh2okkcb2.onion|2021-05-01 00:00:00.000000|https://www.digitalshadows.com/blog-and-research/marketo-a-return-to-simple-extortion, https://securityaffairs.co/wordpress/121617/cyber-crime/puma-available-marketo.html, https://t.me/marketo_leaks, https://t.me/marketocloud
marketo|http://fvki3hj7uxuirxpeop6chgqoczanmebutznt2mkzy6waov6w456vjuid.onion|2021-10-04 08:05:02.379121|https://www.digitalshadows.com/blog-and-research/marketo-a-return-to-simple-extortion, https://securityaffairs.co/wordpress/121617/cyber-crime/puma-available-marketo.html, https://t.me/marketo_leaks, https://t.me/marketocloud
marketo|http://jvdamsif53dqjycuozlaye2s47p7xij4x6hzwzwhzrqmv36gkyzohhqd.onion|2022-03-14 05:12:43.980505|https://www.digitalshadows.com/blog-and-research/marketo-a-return-to-simple-extortion, https://securityaffairs.co/wordpress/121617/cyber-crime/puma-available-marketo.html, https://t.me/marketo_leaks, https://t.me/marketocloud
synack|http://xqkz2rmrqkeqf6sjbrb47jfwnqxcd4o2zvaxxzrpbh2piknms37rw2ad.onion/|2021-08-18 00:02:29.699387|https://www.zdnet.com/article/synack-ransomware-group-releases-decryption-keys-as-they-rebrand-to-el-cometa
suncrypt|http://x2miyuiwpib2imjr5ykyjngdu7v6vprkkhjltrk4qafymtawey4qzwid.onion/|2022-12-11 02:30:58.172802|https://www.tetradefense.com/incident-response-services/cause-and-effect-suncrypt-ransomware-analysis, https://www.intezer.com/blog/malware-analysis/when-viruses-mutate-did-suncrypt-ransomware-evolve-from-qnapcrypt, https://medium.com/s2wblog/case-analysis-of-suncrypt-ransomware-negotiation-and-bitcoin-transaction-43a2194ac0bc
suncrypt|http://nbzzb6sa6xuura2z.onion|2021-05-01 00:00:00.000000|https://www.tetradefense.com/incident-response-services/cause-and-effect-suncrypt-ransomware-analysis, https://www.intezer.com/blog/malware-analysis/when-viruses-mutate-did-suncrypt-ransomware-evolve-from-qnapcrypt, https://medium.com/s2wblog/case-analysis-of-suncrypt-ransomware-negotiation-and-bitcoin-transaction-43a2194ac0bc
lv|http://rbvuetuneohce3ouxjlbxtimyyxokb4btncxjbo44fbgxqy7tskinwad.onion/api/posts/1|2022-12-10 18:10:34.549077|https://www.secureworks.com/research/lv-ransomware, https://securityaffairs.co/wordpress/119306/malware/lv-ransomware-repurposed-revil-binary.html
lv|http://4qbxi3i2oqmyzxsjg4fwe4aly3xkped52gq5orp6efpkeskvchqe27id.onion/|2021-12-02 13:09:34.120074|https://www.secureworks.com/research/lv-ransomware, https://securityaffairs.co/wordpress/119306/malware/lv-ransomware-repurposed-revil-binary.html
lorenz|http://lorenzmlwpzgxq736jzseuterytjueszsvznuibanxomlpkyxk6ksoyd.onion/|2024-02-16 08:08:15.776083|https://www.zdnet.com/article/lorenz-ransomware-attack-victims-can-now-retrieve-their-files-for-free-with-this-decryption-tool, https://www.cybertalk.org/the-worst-outcomes-lorenz-ransomware-a-new-double-extortion-strategy
lockbit2|http://zqaflhty5hyziovsxgqvj2mrz5e5rs6oqxzb54zolccfnvtn5w2johad.onion|2021-11-21 19:05:47.855283|https://threatpost.com/lockbit-ransomware-proliferates-globally/168746, https://www.trendmicro.com/en_us/research/21/h/lockbit-resurfaces-with-version-2-0-ransomware-detections-in-chi.html, https://www.cyber.gov.au/acsc/view-all-content/advisories/2021-006-acsc-ransomware-profile-lockbit-20
lockbit2|http://yq43odyrmzqvyezdindg2tokgogf3pn6bcdtvgczpz5a74tdxjbtk2yd.onion|2022-06-17 16:10:31.959558|https://threatpost.com/lockbit-ransomware-proliferates-globally/168746, https://www.trendmicro.com/en_us/research/21/h/lockbit-resurfaces-with-version-2-0-ransomware-detections-in-chi.html, https://www.cyber.gov.au/acsc/view-all-content/advisories/2021-006-acsc-ransomware-profile-lockbit-20
