title|url|date|source
Ausgaben für IT-Sicherheit steigen deutlich|https://digitaldaily.de/2024/02/14/ausgaben-fur-it-sicherheit-steigen-deutlich/|2024-02-14|digitaldaily.de
Ausgaben für IT-Sicherheit steigen deutlich - IT-Journal|https://www.it-journal.de/179635-ausgaben-fuer-it-sicherheit-steigen-deutlich.html|2024-02-14|IT Journal
Toronto library, zoo attacks show public bodies need to boost cybersecurity: experts|https://www.baytoday.ca/ontario-news/toronto-library-zoo-attacks-show-public-bodies-need-to-boost-cybersecurity-experts-8304475|2024-02-14|BayToday.ca
UN tech envoy worries corporate profits will trump public interest on AI|https://www.baytoday.ca/national-news/un-tech-envoy-worries-corporate-profits-will-trump-public-interest-on-ai-8304465|2024-02-14|BayToday.ca
Integris Health: Παραβίαση δεδομένων επηρεάζει 2,4 εκατ. άτομα|https://www.secnews.gr/518895/integris-health-parabiasi-dedomenon-epireazei-ekatommiria-atoma/|2024-02-14|SecNews.gr
Ausgaben für IT-Sicherheit steigen deutlich|https://unternehmen-heute.de/news.php?newsid=6599291|2024-02-14|unternehmen-heute.de
North, baseball may top agenda of Kishida visit to Korea next month: Report|https://koreajoongangdaily.joins.com/news/2024-02-14/national/diplomacy/North-baseball-may-top-agenda-of-Kishida-visit-to-Korea-next-month-Report/1980747|2024-02-14|중앙일보
LogRhythm Expands Partnership with e-finance to Accelerate Cybersecurity Innovation in Egypt|https://www.crypto-reporter.com/press-releases/logrhythm-expands-partnership-with-e-finance-to-accelerate-cybersecurity-innovation-in-egypt-55672/|2024-02-14|Crypto Reporter
Microsoft Patch Tuesday for February 2024 fixed 2 actively exploited 0-days|https://securityaffairs.com/159106/security/microsoft-patch-tuesday-for-february-2024.html|2024-02-14|Security Affairs
UN tech envoy worries corporate profits will trump public interest on AI|https://www.cjme.com/2024/02/14/un-tech-envoy-worries-corporate-profits-will-trump-public-interest-on-ai/|2024-02-14|980 CJME
UN tech envoy worries corporate profits will trump public interest on AI|https://halifax.citynews.ca/2024/02/14/un-tech-envoy-worries-corporate-profits-will-trump-public-interest-on-ai/|2024-02-14|CityNews Halifax
Toronto library, zoo attacks show public bodies need to boost cybersecurity: experts|https://www.thestar.com/news/gta/toronto-library-zoo-attacks-show-public-bodies-need-to-boost-cybersecurity-experts/article_e342f0b0-002b-5294-8a51-9dcb08adf193.html|2024-02-14|The Star
UN tech envoy worries corporate profits will trump public interest on AI - Medicine Hat News|https://medicinehatnews.com/business/2024/02/14/un-tech-envoy-worries-corporate-profits-will-trump-public-interest-on-ai/|2024-02-14|Medicine Hat News
UN tech envoy worries corporate profits will trump public interest on AI|https://www.mymcmurray.com/2024/02/14/un-tech-envoy-worries-corporate-profits-will-trump-public-interest-on-ai/|2024-02-14|My McMurray
UN tech envoy worries corporate profits will trump public interest on AI|https://toronto.citynews.ca/2024/02/14/un-tech-envoy-worries-corporate-profits-will-trump-public-interest-on-ai/|2024-02-14|CityNews Toronto
UN tech envoy worries corporate profits will trump public interest on AI|https://lethbridgeherald.com/business/2024/02/14/un-tech-envoy-worries-corporate-profits-will-trump-public-interest-on-ai/|2024-02-14|The Lethbridge Herald - News and Sports from around Lethbridge
UN tech envoy worries corporate profits will trump public interest on AI|https://kitchener.citynews.ca/2024/02/14/un-tech-envoy-worries-corporate-profits-will-trump-public-interest-on-ai/|2024-02-14|CityNews Kitchener
CAF : 600 000 comptes ont été piratés... Devez-vous vous inquiéter pour vos données personnelles ?|https://www.lejourguinee.com/caf-600-000-comptes-ont-ete-pirates-devez-vous-vous-inquieter-pour-vos-donnees-personnelles/|2024-02-14|Le Jour Guinée, actualités des banques en ligne
""" Le hacker avait modifié notre page de paiement "" : le patron d'une TPE victime d'une cyberattaque témoigne"|https://www.leparisien.fr/economie/business/le-hacker-avait-modifie-notre-page-de-paiement-le-patron-dune-tpe-victime-dune-cyberattaque-temoigne-14-02-2024-IHDERBSAHZHMRAOSD5K3XKPZOE.php|2024-02-14|Le Parisien
UN tech envoy worries corporate profits will trump public interest on AI|https://www.ckom.com/2024/02/14/un-tech-envoy-worries-corporate-profits-will-trump-public-interest-on-ai/|2024-02-14|650 ckom
UN tech envoy worries corporate profits will trump public interest on AI|https://lethbridgenewsnow.com/2024/02/14/un-tech-envoy-worries-corporate-profits-will-trump-public-interest-on-ai/|2024-02-14|Lethbridge News Now
Toronto library, zoo attacks show public bodies need to boost cybersecurity: experts|https://www.winnipegfreepress.com/uncategorized/2024/02/14/toronto-library-zoo-attacks-show-public-bodies-need-to-boost-cybersecurity-experts|2024-02-14|Winnipeg Free Press
UN tech envoy worries corporate profits will trump public interest on AI|https://chatnewstoday.ca/2024/02/14/un-tech-envoy-worries-corporate-profits-will-trump-public-interest-on-ai/|2024-02-14|CHAT News Today
UN tech envoy worries corporate profits will trump public interest on AI|https://www.winnipegfreepress.com/arts-and-life/life/sci-tech/2024/02/14/un-tech-envoy-worries-corporate-profits-will-trump-public-interest-on-ai|2024-02-14|Winnipeg Free Press
New Report on IoT Security Underscores the Current Risk of Unsecured Devices and Equipment|https://www.streetinsider.com/Globe+Newswire/New+Report+on+IoT+Security+Underscores+the+Current+Risk+of+Unsecured+Devices+and+Equipment/22771633.html|2024-02-14|StreetInsider.com
Cybercriminalité : pourquoi les TPE-PME sont désormais les cibles privilégiées des hackers|https://www.leparisien.fr/economie/business/cybercriminalite-pourquoi-les-tpe-pme-sont-desormais-les-cibles-privilegiees-des-hackers-14-02-2024-VTARZH2VVVEZXKMIT7QFIJ6TNQ.php|2024-02-14|Le Parisien
Ces IA simulent des guerres et hallucinent sur Star Wars et Matrix|https://www.phonandroid.com/ces-ia-simulent-des-guerres-et-hallucinent-sur-star-wars-et-matrix.html|2024-02-14|PhonAndroid
Digital Operational Resilience Act (DORA): Herausforderungen...|https://www.diepresse.com/18102750/digital-operational-resilience-act-dora-herausforderungen-und-loesungen-fuer-den-finanzsektor|2024-02-14|Die Presse
MGM Resorts International Reports Record Fourth Quarter And Full Year 2023 Results|https://www.finanznachrichten.de/nachrichten-2024-02/61400831-mgm-resorts-international-reports-record-fourth-quarter-and-full-year-2023-results-008.htm|2024-02-14|FinanzNachrichten.de
Bitkom: Cybersicherheit - deutscher Markt erstmals über 10 Milliarden Marke, Gütsel Online, Gütersloh, OWL live|https://www.guetsel.de/content/guetersloh/83211/bitkom-cybersicherheit-deutscher-markt-erstmals-ueber-10-milliarden-marke.html|2024-02-14|Gütsel
"Batteriehersteller Varta meldet Cyberangriff | ZDNet.de"|https://www.zdnet.de/88414251/batteriehersteller-varta-meldet-cyberangriff/|2024-02-14|ZDNet.de
Akamai Technologies, Inc.: Akamai Reports Fourth Quarter 2023 And Full-year 2023 Financial Results|https://www.finanznachrichten.de/nachrichten-2024-02/61400788-akamai-technologies-inc-akamai-reports-fourth-quarter-2023-and-full-year-2023-financial-results-008.htm|2024-02-14|FinanzNachrichten.de
AIG Reports Excellent Fourth Quarter and Full Year 2023 Results|https://www.finanznachrichten.de/nachrichten-2024-02/61400666-aig-reports-excellent-fourth-quarter-and-full-year-2023-results-004.htm|2024-02-14|FinanzNachrichten.de
Albanian authorities accuse Iranian-backed hackers of cyberattack on Institute of Statistics - The Daily Reporter - Greenfield Indiana|https://www.greenfieldreporter.com/2024/02/14/albanian-authorities-accuse-iranian-backed-hackers-of-cyberattack-on-institute-of-statistics/|2024-02-14|Greenfield Daily Reporter
"Cyberattaqué, comment le CH Armentières gère sa com de crise | Silicon"|https://www.silicon.fr/cyberattaque-hopital-armentieres-communication-crise-475890.html|2024-02-14|Silicon
Southern Water confirms customer data breach|https://www.computing.co.uk/news/4173914/southern-water-confirms-customer-breach|2024-02-14|Computing
SDAX-Ende: Darum fällt die Varta-Aktie|https://www.finanznachrichten.de/nachrichten-2024-02/61400864-sdax-ende-darum-faellt-die-varta-aktie-139.htm|2024-02-14|FinanzNachrichten.de
La CAF a bien Ã©tÃ© piratÃ©e : changez vite vos mots de passe|https://www.presse-citron.net/la-caf-a-bien-ete-piratee-changez-vite-vos-mots-de-passe/|2024-02-14|Presse-citron
Aerospace Cyber Security Market to Reach $58.8 Billion, Globally, by 2032 at 8.4% CAGR: Allied Market Research|https://itnewsonline.com/PRNewswire/Aerospace-Cyber-Security-Market-to-Reach-USD58.8-Billion-Globally-by-2032-at-8.4Percent-CAGR-Allied-Market-Research/971547|2024-02-14|IT News Online
"Наводив російські ракети на об'єкти критичної інфраструктури Харкова: затримано інформатора рф | УНН"|https://unn.ua/news/navodyv-rosiiski-rakety-na-obiekty-krytychnoi-infrastruktury-kharkova-zatrymano-informatora-rf|2024-02-14|unn.ua
"Quatre comptes de la CAF victimes d'une ""violation des données"", un collectif de hackers revendique un piratage plus vaste"|https://www.francetvinfo.fr/internet/securite-sur-internet/cyberattaques/quatre-comptes-de-la-caf-victimes-d-une-violation-des-donnees-un-collectif-de-hackers-revendique-un-piratage-plus-vaste_6365056.html|2024-02-14|Franceinfo
Major SaaS Breaches in 2024: Midnight Blizzard and Cloudflare-Atla...|https://bnnbreaking.com/tech/major-saas-breaches-in-2024-midnight-blizzard-and-cloudflare-atlassian-incidents|2024-02-14|BNN Breaking - Breaking News, World News and Local News. The People's Network.
MORNING BRIEFING - Deutschland/Europa|https://www.finanznachrichten.de/nachrichten-2024-02/61399404-morning-briefing-deutschland-europa-015.htm|2024-02-14|FinanzNachrichten.de
Albanian authorities accuse Iranian-backed hackers of cyberattack on Institute of Statistics - KION546|https://kion546.com/ap-national/2024/02/13/albanian-authorities-accuse-iranian-backed-hackers-of-cyberattack-on-institute-of-statistics/|2024-02-14|KION546
Cybersécurité : 250 millions pour les hôpitaux|http://francais.medscape.com/voirarticle/3611023|2024-02-14|Medscape
China VPS Server - FAQs - TheServerHost|https://techbullion.com/china-vps-server-faqs-theserverhost/|2024-02-14|TechBullion
"Відтоку не сталось. Як ""Домашній Інтернет"" від Київстар подолав наслідки кібератаки та як розвивається послуга"|https://biz.nv.ua/ukr/markets/yak-kijivstar-vidnovivsya-pislya-rosiyskoji-kiberataki-ta-yak-vdoskonalyuyetsya-posluga-domashniy-internet-50392212.html|2024-02-14|НВ
Microsoft's February Patch Tuesday: Addressing 75 Vulnerabilities and Fortifying Cybersecurity|https://bnnbreaking.com/tech/microsofts-february-patch-tuesday-addressing-75-vulnerabilities-and-fortifying-cybersecurity|2024-02-14|BNN Breaking - Breaking News, World News and Local News. The People's Network.
