Date|Group|Nombre d'attaques
2024-02-15|alphv|1
2024-02-15|medusa|1
2024-02-15|qilin|3
2024-02-14|qilin|4
2024-02-14|lockbit3|16
2024-02-14|akira|1
2024-02-14|mydata|1
2024-02-14|trigona|2
2024-02-14|abyss|1
2024-02-14|hunters|1
2024-02-14|8base|3
2024-02-14|alphv|1
2024-02-13|lockbit3|17
2024-02-13|blackbasta|7
2024-02-13|qilin|1
2024-02-13|hunters|3
2024-02-13|alphv|6
2024-02-13|akira|1
2024-02-12|lockbit3|27
2024-02-12|threeam|1
2024-02-12|blacksuit|2
2024-02-12|knight|1
2024-02-12|cloak|3
2024-02-12|alphv|3
2024-02-12|medusa|4
2024-02-12|meow|4
2024-02-12|hunters|1
2024-02-12|cactus|1
2024-02-11|8base|1
2024-02-11|abyss|2
2024-02-11|medusa|2
2024-02-11|bianlian|2
2024-02-11|alphv|3
2024-02-11|qilin|3
2024-02-11|lockbit3|2
2024-02-10|bianlian|4
2024-02-10|qilin|1
2024-02-10|ransomhub|1
2024-02-10|hunters|10
2024-02-10|abyss|1
2024-02-10|lockbit3|10
2024-02-10|alphv|1
2024-02-10|incransom|1
2024-02-09|lockbit3|22
2024-02-09|bianlian|5
2024-02-09|alphv|1
2024-02-09|qilin|2
2024-02-09|blackbasta|1
2024-02-09|abyss|1
2024-02-09|cactus|1
2024-02-09|werewolves|1
2024-02-09|blacksuit|2
2024-02-09|akira|2
2024-02-08|akira|4
2024-02-08|hunters|1
2024-02-08|lockbit3|4
2024-02-08|alphv|1
2024-02-08|abyss|2
2024-02-08|play|5
2024-02-07|play|7
2024-02-07|blacksuit|2
2024-02-07|akira|1
2024-02-07|abyss|1
2024-02-07|medusa|1
2024-02-07|bianlian|1
2024-02-07|lockbit3|4
2024-02-07|8base|10
2024-02-07|ransomhouse|2
2024-02-06|alphv|2
2024-02-06|abyss|1
2024-02-06|bianlian|3
2024-02-06|akira|2
2024-02-06|ransomhouse|2
2024-02-06|medusa|1
2024-02-06|qilin|1
2024-02-06|cactus|2
2024-02-06|lockbit3|6
2024-02-06|play|13
2024-02-06|blackbasta|1
2024-02-05|lockbit3|18
2024-02-05|knight|1
2024-02-05|alphv|1
2024-02-05|blacksuit|1
2024-02-05|akira|1
2024-02-05|bianlian|1
2024-02-05|snatch|1
2024-02-05|donutleaks|1
2024-02-04|bianlian|2
2024-02-04|lockbit3|2
2024-02-04|qilin|1
2024-02-04|knight|1
2024-02-03|bianlian|1
2024-02-03|lockbit3|2
2024-02-03|medusa|1
2024-02-02|medusa|1
2024-02-02|bianlian|7
2024-02-02|lockbit3|5
2024-02-02|knight|1
2024-02-02|threeam|1
2024-02-02|play|2
2024-02-01|knight|2
2024-02-01|cloak|1
2024-02-01|threeam|1
2024-02-01|lockbit3|11
2024-02-01|akira|2
2024-02-01|cuba|2
2024-02-01|rhysida|2
2024-02-01|meow|1
2024-02-01|medusa|1
2024-02-01|bianlian|2
2024-02-01|everest|2
2024-01-31|lockbit3|8
2024-01-31|qilin|2
2024-01-31|medusa|1
2024-01-31|alphv|3
2024-01-31|akira|2
2024-01-31|blacksuit|2
2024-01-31|trigona|4
2024-01-31|8base|9
2024-01-30|incransom|5
2024-01-30|cactus|2
2024-01-30|lockbit3|3
2024-01-30|bianlian|2
2024-01-30|alphv|1
2024-01-29|lockbit3|5
2024-01-29|akira|6
2024-01-29|trigona|1
2024-01-29|knight|2
2024-01-29|incransom|5
2024-01-29|alphv|3
2024-01-29|bianlian|3
2024-01-28|qilin|1
2024-01-27|cactus|2
2024-01-27|abyss|2
2024-01-26|incransom|1
2024-01-26|medusa|3
2024-01-26|bianlian|3
2024-01-26|lockbit3|4
2024-01-26|snatch|1
2024-01-26|akira|8
2024-01-26|blackbasta|1
2024-01-26|mydata|1
2024-01-26|cactus|2
2024-01-26|alphv|1
2024-01-26|qilin|1
2024-01-25|bianlian|4
2024-01-25|incransom|1
2024-01-25|0mega|2
2024-01-25|lockbit3|2
2024-01-25|medusa|1
2024-01-25|blackbasta|2
2024-01-25|akira|2
2024-01-25|qilin|3
2024-01-24|alphv|2
2024-01-24|ransomhouse|2
2024-01-24|hunters|4
2024-01-24|snatch|1
2024-01-24|lockbit3|3
2024-01-24|clop|1
2024-01-24|cloak|1
2024-01-24|mydata|6
2024-01-24|akira|2
2024-01-24|medusa|3
2024-01-24|meow|1
2024-01-24|abyss|2
2024-01-24|8base|6
2024-01-23|alphv|3
2024-01-23|abyss|2
2024-01-23|lockbit3|3
2024-01-23|akira|6
2024-01-23|blackbasta|10
2024-01-23|cactus|1
2024-01-23|monti|2
2024-01-23|hunters|2
2024-01-23|medusa|4
2024-01-23|8base|2
2024-01-23|bianlian|1
2024-01-23|ransomhouse|1
2024-01-22|ransomhouse|1
2024-01-22|lockbit3|22
2024-01-22|blackbasta|2
2024-01-22|cuba|2
2024-01-22|hunters|1
2024-01-22|medusa|4
2024-01-22|alphv|1
2024-01-21|lockbit3|14
2024-01-21|bianlian|5
2024-01-20|incransom|1
2024-01-20|cactus|1
2024-01-20|akira|2
2024-01-20|lockbit3|5
2024-01-20|alphv|3
2024-01-20|moneymessage|1
2024-01-20|play|1
2024-01-20|qilin|1
2024-01-19|moneymessage|1
2024-01-19|lockbit3|11
2024-01-19|incransom|1
2024-01-19|play|1
2024-01-19|akira|2
2024-01-19|alphv|1
2024-01-19|hunters|1
2024-01-19|qilin|1
2024-01-19|8base|1
2024-01-19|bianlian|2
2024-01-18|trigona|4
2024-01-18|stormous|1
2024-01-18|blacksuit|2
2024-01-18|bianlian|2
2024-01-18|lockbit3|4
2024-01-18|hunters|1
2024-01-18|slug|1
2024-01-17|akira|3
2024-01-17|medusa|3
2024-01-17|8base|5
2024-01-17|insane|1
2024-01-16|akira|7
2024-01-16|noname|3
2024-01-16|lockbit3|2
2024-01-16|qilin|2
2024-01-16|bianlian|2
2024-01-15|lockbit3|8
2024-01-15|malekteam|1
2024-01-15|hunters|1
2024-01-15|bianlian|2
2024-01-15|unsafeleak|2
2024-01-14|unsafe|3
2024-01-14|bianlian|2
2024-01-14|unsafeleak|1
2024-01-14|stormous|1
2024-01-14|cactus|1
2024-01-14|lockbit3|2
2024-01-14|qilin|1
2024-01-13|lockbit3|3
2024-01-13|cactus|1
2024-01-13|rhysida|2
2024-01-13|snatch|3
2024-01-13|threeam|2
2024-01-12|lockbit3|3
2024-01-12|incransom|2
2024-01-12|cactus|10
2024-01-12|threeam|2
2024-01-12|alphv|4
2024-01-12|qilin|1
2024-01-12|8base|5
2024-01-12|everest|4
2024-01-11|akira|4
2024-01-11|medusa|4
2024-01-11|lockbit3|2
2024-01-11|alphv|5
2024-01-11|qilin|1
2024-01-10|lockbit3|8
2024-01-10|qilin|2
2024-01-10|alphv|1
2024-01-09|blacksuit|2
2024-01-09|akira|4
2024-01-09|qilin|2
2024-01-09|8base|1
2024-01-08|alphv|1
2024-01-08|qilin|1
2024-01-08|akira|4
2024-01-08|incransom|2
2024-01-08|lockbit3|4
2024-01-07|lockbit3|2
2024-01-07|raznatovic|1
2024-01-07|knight|1
2024-01-06|bianlian|1
2024-01-06|cloak|1
2024-01-06|knight|1
2024-01-06|play|2
2024-01-06|rhysida|2
2024-01-06|dragonforce|1
2024-01-05|bianlian|4
2024-01-05|lockbit3|2
2024-01-04|hunters|3
2024-01-04|monti|2
2024-01-03|blacksuit|2
2024-01-03|hunters|1
2024-01-03|alphv|2
2024-01-02|play|2
2024-01-02|lockbit3|2
2024-01-02|alphv|2
2024-01-02|blackbasta|3
2024-01-02|ciphbit|2
2024-01-01|clop|1
2024-01-01|rhysida|2
2024-01-01|bianlian|1
2023-12-31|play|1
2023-12-30|play|3
2023-12-30|incransom|2
2023-12-30|ransomexx|2
2023-12-30|lockbit3|4
2023-12-30|alphv|2
2023-12-29|alphv|5
2023-12-29|cactus|7
2023-12-29|ransomhouse|2
2023-12-29|lockbit3|2
2023-12-28|cactus|6
2023-12-28|blackbasta|1
2023-12-28|bianlian|2
2023-12-28|alphv|1
2023-12-28|play|2
2023-12-28|lockbit3|4
2023-12-27|blackbasta|1
2023-12-27|dragonforce|1
2023-12-27|qilin|2
2023-12-27|meow|1
2023-12-27|alphv|6
2023-12-27|cloak|2
2023-12-27|toufan|2
2023-12-26|lockbit3|6
2023-12-26|raznatovic|1
2023-12-26|cactus|1
2023-12-26|rhysida|4
2023-12-26|toufan|2
2023-12-25|blacksuit|2
2023-12-25|akira|2
2023-12-25|lockbit3|11
2023-12-25|stormous|1
2023-12-25|8base|2
2023-12-25|alphv|1
2023-12-24|malekteam|4
2023-12-24|alphv|4
2023-12-24|lockbit3|2
2023-12-23|bianlian|3
2023-12-23|lockbit3|6
2023-12-23|toufan|3
2023-12-23|werewolves|2
2023-12-23|cactus|4
2023-12-23|incransom|1
2023-12-23|alphv|2
2023-12-22|lockbit3|18
2023-12-22|alphv|1
2023-12-22|blackbasta|3
2023-12-22|cactus|1
2023-12-22|akira|2
2023-12-22|toufan|2
2023-12-21|cactus|7
2023-12-21|ragroup|7
2023-12-21|stormous|7
2023-12-21|play|8
2023-12-21|dragonforce|2
2023-12-21|ranstreet|1
2023-12-20|dragonforce|1
2023-12-20|medusa|1
2023-12-20|meow|1
2023-12-20|lockbit3|10
2023-12-20|incransom|1
2023-12-20|toufan|2
2023-12-20|ragroup|6
2023-12-20|alphv|1
2023-12-20|werewolves|21
2023-12-20|cactus|5
2023-12-20|bianlian|1
2023-12-20|8base|8
2023-12-19|rhysida|2
2023-12-19|toufan|99
2023-12-19|meow|1
2023-12-19|lockbit3|5
2023-12-19|alphv|1
2023-12-19|bianlian|1
2023-12-19|play|7
2023-12-19|blackbasta|2
2023-12-19|hunters|1
2023-12-18|play|7
2023-12-18|blackbasta|6
2023-12-18|lockbit3|1
2023-12-18|alphv|2
2023-12-18|toufan|2
2023-12-18|cactus|2
2023-12-18|bianlian|2
2023-12-17|medusa|5
2023-12-17|toufan|5
2023-12-17|raznatovic|3
2023-12-17|lockbit3|2
2023-12-16|alphv|2
2023-12-16|incransom|2
2023-12-16|snatch|2
2023-12-16|knight|1
2023-12-16|clop|1
2023-12-16|cactus|3
2023-12-16|blackbasta|1
2023-12-16|8base|1
2023-12-15|threeam|1
2023-12-15|cactus|9
2023-12-15|lockbit3|10
2023-12-15|akira|2
2023-12-15|hunters|1
2023-12-15|bianlian|3
2023-12-14|lockbit3|10
2023-12-14|bianlian|3
2023-12-14|cactus|3
2023-12-14|akira|2
2023-12-14|threeam|1
2023-12-13|knight|3
2023-12-13|cloak|1
2023-12-13|dragonforce|17
2023-12-13|ransomhouse|2
2023-12-13|lockbit3|5
2023-12-13|blackbasta|4
2023-12-13|alphv|2
2023-12-13|meow|1
2023-12-13|threeam|1
2023-12-13|incransom|2
2023-12-13|cactus|2
2023-12-13|8base|9
2023-12-13|rhysida|2
2023-12-13|akira|2
2023-12-13|play|1
2023-12-12|play|1
2023-12-12|akira|7
2023-12-12|lockbit3|15
2023-12-12|threeam|2
2023-12-12|meow|1
2023-12-12|rhysida|2
2023-12-11|lockbit3|7
2023-12-11|hunters|1
2023-12-11|lorenz|2
2023-12-11|akira|3
2023-12-11|medusa|5
2023-12-11|bianlian|2
2023-12-11|cactus|2
2023-12-10|lockbit3|4
2023-12-10|threeam|2
2023-12-10|incransom|1
2023-12-10|cactus|2
2023-12-10|rhysida|7
2023-12-09|blacksuit|1
2023-12-09|akira|1
2023-12-09|rhysida|1
2023-12-09|play|8
2023-12-09|daixin|2
2023-12-09|siegedsec|8
2023-12-09|lockbit3|1
2023-12-08|monti|2
2023-12-08|lockbit3|6
2023-12-08|play|4
2023-12-08|cloak|1
2023-12-08|snatch|1
2023-12-08|blacksuit|1
2023-12-08|siegedsec|11
2023-12-08|qilin|2
2023-12-08|rhysida|2
2023-12-08|bianlian|2
2023-12-07|lockbit3|17
2023-12-07|play|20
2023-12-07|incransom|2
2023-12-07|bianlian|2
2023-12-07|metaencryptor|2
2023-12-07|akira|3
2023-12-07|qilin|2
2023-12-07|cactus|2
2023-12-07|8base|1
2023-12-07|blacksuit|1
2023-12-07|monti|1
2023-12-06|medusa|6
2023-12-06|monti|2
2023-12-06|bianlian|2
