Date|Victime|Domaine|Pays|Résumé|Titre|URL
2024-02-13|School District 67|sd67.bc.ca|CAN|Le district scolaire 67 a subi une cyberattaque mardi, entraînant la panne des services de téléphone et de courriel, mais les cours se poursuivent normalement. Il n'y a pas de calendrier prévu pour la remise en service des systèmes, et le district bénéficie du soutien du ministère de l'Éducation et de la Protection de l'enfance, de Safer Schools Together, des autorités locales et d'un prestataire de services spécialisé en incidents de cybersécurité. L'attaque n'a pas été identifiée comme étant un rançongiciel, et il n'est pas mentionné si des informations personnelles ont été compromises.|"'No timeline' for SD 67 recovery from cyberattack | News | pentictonherald.ca"|https://www.pentictonherald.ca/news/article_2506e0c4-cb82-11ee-b160-53c844597fde.html
2024-01-26|Kunath|kunath.com|DEU|"Le matin du 26 janvier 2024, les systèmes informatiques de Kunath, une entreprise de taille moyenne spécialisée dans la fabrication de vêtements professionnels et basée à Bretnig-Hauswalde, ont été paralysés par une cyberattaque. L'entreprise, qui emploie 57 personnes et produit principalement des vêtements pour les maisons de retraite, a dû faire face à une situation critique où ""il s'en est fallu de peu pour que tout s'éteigne"", selon Christian Hartmann, membre de la direction. En conséquence de l'attaque, les transactions au sein de l'entreprise ont dû être traitées manuellement."|"Kamenz: Wie eine Firma aus dem Kreis Bautzen Opfer eines Cyber-Angriffs wurde | Sächsische.de"|https://www.saechsische.de/kamenz/kunath-cyber-angriff-troyaner-virus-bretnig-grossroehrsdorf-it-sicherheit-polizei-5965794-plus.html
2024-02-13|Act21|act21.fr|FRA|Act21, une filiale de Baker Tilly, a subi une cyberattaque le 13 février 2024, entraînant l'indisponibilité de l'accès aux logiciels et données pour ses clients. Bien que les données aient été chiffrées, il n'y a pas d'indication que celles-ci aient été exfiltrées, et des experts en cybercriminalité travaillent à la résolution du problème. L'impact sur les activités des clients est limité car les logiciels d'Act21 ne sont pas essentiels à leur fonctionnement quotidien.|"ESN : Act21, le pôle RSE de Baker Tilly, victime de cyberattaque | LeMagIT"|https://www.lemagit.fr/actualites/366570041/ESN-Act21-le-pole-RSE-de-Baker-Tilly-victime-de-cyberattaque
2024-02-11|Clinique privée La Colline (groupe Hirslanden)|hirslanden.ch|CHE|La clinique privée La Colline à Genève, appartenant au groupe Hirslanden, a été victime d'une cyberattaque, ce qui a perturbé la prise de rendez-vous. Le porte-parole du groupe a affirmé que la sécurité des patients et l'intégrité des dispositifs médicaux n'ont pas été compromis et qu'il n'y a pas de preuve de vol de données. L'attaque a été revendiquée par LockBit 3.0.|Clinique privée à Genève victime d'une cyberattaque - 20 minutes|https://www.20min.ch/fr/story/geneve-clinique-privee-victime-dune-cyberattaque-103042473
2024-02-13|Coeur d'Alene|coeurdalene.org|USA|La ville de Coeur d'Alene, dans l'Idaho, a été victime d'une cyberattaque par malware le 13 février 2024, entraînant la fermeture des systèmes informatiques affectés, mais les services d'urgence, y compris le 911, sont restés opérationnels. La municipalité collabore avec des spécialistes en cybersécurité pour contrer l'attaque, en déterminer l'origine et renforcer ses défenses numériques. Les citoyens sont invités à changer leurs mots de passe des comptes liés aux services de la ville une fois que ceux-ci seront pleinement rétablis.|Coeur d'Alene's Battle Against Malware: A Call for Citizen Vigilance and Digital Defense|https://bnnbreaking.com/tech/coeur-dalenes-battle-against-malware-a-call-for-citizen-vigilance-and-digital-defense
2024-02-05|Prudential Financial, Inc.|prudential.com|USA|L'article semble être un formulaire 8-K, qui est un rapport actuel soumis à la Securities and Exchange Commission (SEC) des États-Unis par Prudential Financial, Inc., indiquant un événement significatif qui pourrait intéresser les investisseurs. Le rapport mentionne l'adresse du siège social de l'entreprise à Newark, New Jersey, et les différents titres financiers de l'entreprise enregistrés à la Bourse de New York. Cependant, l'article ne fournit pas de détails spécifiques sur une cyberattaque, mais plutôt des informations générales sur l'entreprise et ses obligations de déclaration.|8-K|https://www.sec.gov/Archives/edgar/data/1137774/000119312524033753/d770643d8k.htm
2024-02-13|Varta|varta.com|DEU|Le groupe Varta, spécialisé dans la fabrication de batteries, a été victime d'une cyberattaque qui a conduit à l'arrêt de ses systèmes informatiques et de sa production. L'entreprise, cotée au SDAX, n'a pas pu fournir de détails sur l'étendue des dégâts ni confirmer si un préjudice avait été subi, mais a annoncé son intention de rétablir le fonctionnement normal le plus rapidement possible. En réaction à cette annonce, le cours de l'action Varta a chuté de 4,75 % à la clôture officielle de la Bourse et a continué de baisser en dehors des heures de bourse.|"Varta-Aktie taumelt nach Hackerangriff | finanzen.net"|https://www.finanzen.net/nachricht/aktien/schaden-unklar-varta-aktie-rutscht-ab-cyberangriff-auf-varta-13256244
2024-01-31|Willis Lease Finance Corporation (WLFC)|willislease.com|USA|La Willis Lease Finance Corporation, une entreprise spécialisée dans la location de pièces d'avions, a signalé à la SEC avoir été victime d'une cyberattaque détectée le 31 janvier, dont l'activité non autorisée a été complètement contenue le 2 février, sans que l'entreprise ne puisse encore déterminer l'étendue des données affectées. Le groupe de ransomware Black Basta a revendiqué l'attaque, affirmant avoir dérobé plus de 900 Go de données sensibles et menaçant de les divulguer publiquement. Black Basta est actif depuis avril 2022 et a été lié à plus de 300 infections, avec des demandes de rançon estimées à environ 100 millions de dollars en novembre 2023.|Willis Lease Finance Corp Discloses Cyberattack - SecurityWeek|https://www.securityweek.com/willis-lease-finance-corp-discloses-cyberattack/
2024-02-13|Aztech Global|aztech.com|SGP|Aztech Global, un fournisseur de solutions technologiques basé à Singapour, a annoncé avoir été victime d'une cyberattaque sous forme de rançongiciel (ransomware) qui a permis aux cybercriminels d'accéder sans autorisation à son réseau informatique. L'entreprise a pris des mesures immédiates, telles que l'arrêt de ses serveurs pendant la pause du Nouvel An chinois et l'utilisation de logiciels de cybersécurité pour s'assurer qu'aucune autre donnée n'était affectée. Aztech Global a également engagé des conseillers forensiques tiers pour enquêter sur l'incident et a informé les autorités compétentes, tout en cherchant des conseils pour renforcer sa sécurité informatique.|"Aztech Global reports ‘cyber security incident’, says no material impact but launches probe | The Straits Times"|https://www.straitstimes.com/business/companies-markets/aztech-global-reports-cyber-security-incident-says-no-material-impact-but-launches-probe
2024-02-12|MSH International|msh-intl.com|CAN|Un cyber incident a affecté MSH International, sous-traitant de Canada Life pour le régime de soins de santé des fonctionnaires fédéraux canadiens, perturbant les services de couverture d'urgence et de voyage à l'étranger. L'ampleur de l'accès aux données par les attaquants n'est pas encore connue, et MSH a suspendu ses services pour protéger son réseau, tout en engageant une firme externe pour aider à la restauration sécurisée des services. Le gouvernement du Canada est en communication régulière avec Canada Life pour suivre la situation, et des informations supplémentaires seront partagées dès qu'elles seront disponibles.|"Cyber incident hits sub-contractor of public servants' health plan | Ottawa Citizen"|https://ottawacitizen.com/news/cyber-incident-hits-sub-contractor-of-public-servants-health-plan
