ID|Victim|Domain|Date|Country|Title|Summary|URL
1|Université de Reykjavík|ru.is|2024-02-02|ISL|Russian Hackers Believed to be Behind Cyber Attack on Icelandic University|Reykjavík University is recovering from a cyber attack believed to be orchestrated by the Russian hacker group Akira, known for using ransomware. While the attack was widespread, the university asserts that only basic information about the student body was accessed. Students and staff are advised to change passwords, especially if used elsewhere, and to remain cautious about potential phishing messages and emails. The university plans to resume classes on February 5th.|https://www.icelandreview.com/news/russian-hackers-believed-to-be-behind-cyber-attack-on-icelandic-university/
2|Germantown|germantown-tn.gov|2024-02-02|USA|Germantown hit by cybersecurity incident: Here's what we know|"La ville de Germantown a été victime d'une ""incident de cybersécurité malveillant"" qui a perturbé ses systèmes informatiques, avec une première alerte signalée juste avant 6 heures du matin le vendredi. L'attaque a été contenue et semble avoir affecté un nombre limité de serveurs internes, tandis que les systèmes financiers, de services publics et d'informations de paiement, qui sont basés sur le cloud, n'ont pas été compromis. Les lignes d'urgence 911 fonctionnent, mais certains services non urgents et les lignes téléphoniques de la ville sont impactés, et les paiements peuvent toujours être effectués en ligne ou à l'hôtel de ville."|https://www.commercialappeal.com/story/news/local/suburbs/germantown/2024/02/02/cyber-security-attack-in-germantown-tn/72450812007/
3|Diagnostic Medical Systems Group (DMS Group)|dms.com|2024-02-01|FRA|DMS GROUP : Interception d'une cyberattaque.|Le 2 février 2024, Diagnostic Medical Systems Group (DMS Group), spécialisé dans l'imagerie médicale, a annoncé avoir été la cible d'une cyberattaque de type ransomware. Les équipes informatiques de l'entreprise, aidées par un prestataire de cybersécurité et les services de l'État, ont réagi rapidement pour contenir l'attaque, et il a été confirmé qu'aucune donnée de santé n'était compromise et que les équipements clients n'étaient pas affectés.L'attaque a été revendiquée le 1er février 2024 par le groupe Cuba.|https://www.abcbourse.com/marches/dms-group-interception-d-une-cyberattaque_620363
4|Groton Public Schools|groton.k12.ct.us|2024-02-01|USA|Groton schools’ internet outage from ‘cyber-attack’ under investigation|Les écoles publiques de Groton ont subi une panne d'internet à l'échelle du district jeudi, suite à une cyberattaque sur leurs serveurs principaux. Le directeur de la technologie de Groton, Clint Kennedy, a indiqué que 90% des systèmes étaient à nouveau opérationnels et que le processus de récupération en cas de désastre était en cours avec l'aide de la police locale. La surintendante des écoles, Susan Austin, a confirmé que l'internet avait été rétabli à 90% et que l'incident faisait l'objet d'une enquête.|https://www.theday.com/police-fire-reports/20240201/groton-schools-internet-outage-under-investigation/
5|Landkreis Kelheim|landkreis-kelheim.de|2024-02-01|DEU|"Kelheimer Behördennetzwerk nach Cyber-Angriff bis Montag offline | charivari"|Le réseau informatique des autorités du district de Kelheim en Allemagne a été victime d'une cyberattaque, entraînant le piratage du serveur central. En conséquence, les services en ligne, y compris les demandes en ligne, les e-mails et les services téléphoniques, sont indisponibles pour le bureau du district et presque toutes les villes et municipalités concernées. Le bureau du district a déconnecté les connexions Internet pour permettre l'inspection et la désinfection des systèmes, avec une reprise prévue pour le lundi suivant.|https://www.charivari.com/computer-stoerung-im-kelheimer-behoerdennetzwerk-590176/
6|Lurie Children's Hospital|luriechildrens.org|2024-01-31|USA|Lurie Children's outage: Chicago hospital investigating 'cyber security matter' as internet, phone outage continues for 2nd day - ABC7 Chicago|L'hôpital pour enfants Lurie à Chicago enquête sur un incident de cybersécurité qui a entraîné une panne de leur réseau informatique, d'internet et de téléphone pour le deuxième jour consécutif. L'hôpital travaille avec des experts et les forces de l'ordre pour résoudre le problème et a mis hors ligne ses systèmes réseau en réponse à l'incident. Cette panne a forcé l'annulation de certaines chirurgies et procédures électives, et bien que les services d'urgence n'aient pas été affectés, le personnel a dû revenir à des méthodes de travail manuelles, comme l'utilisation de dossiers papier.|https://abc7chicago.com/lurie-childrens-outage-hospital-luries-my-chart-chicago-hospitals/14378858/
7|Cuba|mfp.gob.cu|2024-01-31|CUB|Cuba delays Feb. 1 fuel price hike, cites cyberattack By Reuters|Cuba a reporté une augmentation très impopulaire du prix de l'essence prévue pour le 1er février en raison d'une cyberattaque, selon la vice-ministre de l'Économie, Mildrey Granadillo, qui a annoncé que l'attaque informatique était due à un virus provenant de l'étranger.|https://www.investing.com/news/commodities-news/cuba-delays-feb-1-fuel-price-hike-cites-cyberattack-3288862
8|Viamedis|viamedis.fr|2024-01-31|FRA|Info sécurité : information important|Viamedis, un organisme gérant le tiers payant pour la complémentaire santé, a subi une cyberattaque, entraînant la déconnexion de sa plateforme et la mise en place d'une enquête avec notification aux autorités compétentes (CNIL, ANSSI). Les données personnelles compromises incluent l'état civil, la date de naissance et le numéro de sécurité sociale, mais aucune information bancaire, donnée médicale ou coordonnée de contact n'a été affectée. Les clients sont invités à rester vigilants face à d'éventuels messages ou appels inhabituels et à signaler toute activité suspecte au service Relation Client ou via un formulaire en ligne.|https://m.communication.malakoffhumanis.com/nl/jsp/m.jsp?c=yzzNCcF4uE4y1iG%2B7U9wBg%3D%3D
9|Caritas-Klinik Dominikus à Berlin|dominikus-krankenhaus-berlin.org|2024-01-31|DEU|Cyberangriff auf Caritas-Klinik Dominikus in Berlin - kma Online|La Caritas-Klinik Dominikus à Berlin a été victime d'une cyberattaque. Les détails sur les systèmes affectés et l'étendue de l'attaque sont actuellement inconnus, et une analyse est en cours. Après la découverte de l'attaque, le service informatique, en collaboration avec des experts d'une société de sécurité externe, a immédiatement pris des mesures importantes pour stopper rapidement la propagation de l'attaque.|https://www.kma-online.de/aktuelles/it-digital-health/detail/cyberangriff-auf-caritas-klinik-dominikus-in-berlin-51460
10|Digitel|digitel.com.ve|2024-01-30|VEN|Digitel confirma ataque cibernético pero dice que data de usuarios no fue vulnerada|Digitel, le deuxième opérateur de téléphonie mobile au Venezuela, a confirmé avoir subi une cyberattaque mais assure que les données de ses utilisateurs n'ont pas été compromises grâce à l'activation de leurs mécanismes de sécurité. Suite à l'attaque, la société a dû bloquer ses serveurs de manière préventive, ce qui a empêché les abonnés d'effectuer des recharges de crédit ou d'accéder aux services clients. Cependant, l'organisation Venezuela Sin Filtro demande à Digitel plus de transparence concernant les détails de l'attaque et la sécurité des données des clients.|https://efectococuyo.com/la-humanidad/digitel-confirma-ataque-cibernetico-pero-dice-que-data-de-usuarios-no-fue-vulnerada/
